title,url,year,tags,decade,urlMinusVaultId,isMusical,isComedy,isDrama,isPlay,tags_simplified,description,qasset,weeks
The Beaux Stratagem,/production/the-beaux-stratagem-nassau-street-theatre-vault-0000008879,1750,Broadway/Comedy/Original/Play,1750,/production/the-beaux-stratagem-nassau-street-theatre,False,True,False,True,Broadway/Comedy/Original/Play,"Two impoverished young gentlemen plan to travel through small towns romancing and collecting money from rich women, which leads to comic complications, in George Farquhar's 1707 comedy.",00000150-aea5-d936-a7fd-eef5a95e0004,0
George Barnwell,/production/george-barnwell-nassau-street-theatre-vault-0000008880,1750,Broadway/Original/Play,1750,/production/george-barnwell-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95e0005,0
The Distressed Mother,/production/the-distressed-mother-nassau-street-theatre-vault-0000008881,1750,Broadway/Original/Play,1750,/production/the-distressed-mother-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95f0000,0
A Bold Stroke for a Wife,/production/a-bold-stroke-for-a-wife-nassau-street-theatre-vault-0000008882,1750,Broadway/Original/Play,1750,/production/a-bold-stroke-for-a-wife-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95f0001,0
The Beau in the Suds,/production/the-beau-in-the-suds-nassau-street-theatre-vault-0000008883,1750,Broadway/Musical/Operetta/Original,1750,/production/the-beau-in-the-suds-nassau-street-theatre,True,False,False,False,Other,,00000150-aea5-d936-a7fd-eef5a95f0002,0
The Walking Statue,/production/the-walking-statue-nassau-street-theatre-vault-0000008884,1750,Broadway/Original/Play,1750,/production/the-walking-statue-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95f0003,0
The Old Man Taught Wisdom,/production/the-old-man-taught-wisdom-nassau-street-theatre-vault-0000008885,1750,Broadway/Original/Play,1750,/production/the-old-man-taught-wisdom-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95f0004,0
Hob in the Well,/production/hob-in-the-well-nassau-street-theatre-vault-0000008886,1750,Broadway/Original/Play,1750,/production/hob-in-the-well-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95f0005,0
Miss in Her Teens,/production/miss-in-her-teens-nassau-street-theatre-vault-0000008887,1750,Broadway/Original/Play,1750,/production/miss-in-her-teens-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a9600000,0
Othello,/production/othello-nassau-street-theatre-vault-0000008877,1751,Broadway/Concert/Original/Special,1750,/production/othello-nassau-street-theatre,False,False,False,False,Other,"Othello, a Moor who has become a general in the Venetian army, sees his happy marriage to the beautiful Desdemona destroyed when his seemingly trustworthy ensign, Iago, suggests to him that she may be unfaithful, in William Shakespeare's tragedy of revenge, jealousy and intrigue.",00000150-aea5-d936-a7fd-eef5a95e0002,0
Fair Penitent,/production/fair-penitent-nassau-street-theatre-vault-0000008876,1751,Broadway/Original/Play,1750,/production/fair-penitent-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95e0001,0
The Conscious Lovers,/production/the-conscious-lovers-nassau-street-theatre-vault-0000008875,1753,Broadway/Comedy/Original/Play,1750,/production/the-conscious-lovers-nassau-street-theatre,False,True,False,True,Broadway/Comedy/Original/Play,,00000150-aea5-d936-a7fd-eef5a95e0000,0
King Lear,/production/king-lear-nassau-street-theatre-vault-0000008874,1753,Broadway/Original/Play,1750,/production/king-lear-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,"In William Shakespeare's royal-family tragedy, the aging King Lear divides his estate between
his three daughters, ultimately refusing his youngest and favorite her share because she won't
publicly admit her love for him. The decision leads to chaos and treachery within the kingdom and madness for its monarch.",00000150-aea5-d936-a7fd-eef5a95d0004,0
Romeo and Juliet,/production/romeo-and-juliet-new-theatre-vault-0000008899,1753,Broadway/Original/Tragedy,1750,/production/romeo-and-juliet-new-theatre,False,False,False,False,Other,Teenagers Romeo and Juliet fall for each other despite their warring families in Verona. Their passionate romance leads to tragedy in William Shakespeare's tale of forbidden love.,00000150-aea5-d936-a7fd-eef5a9610000,0
Hamlet,/production/hamlet-chapel-street-theatre-vault-0000003184,1761,Broadway/Drama/Original,1760,/production/hamlet-chapel-street-theatre,False,False,True,False,Broadway/Drama/Original,"Hamlet, a Danish prince, discovers that his uncle Claudius murdered his father and took the throne; Hamlet's mother has married the usurper. Shakespeare's tragedy of betrayal and revenge is considered among the greatest plays in the English language.",00000150-aea2-d936-a7fd-eef6db3f0001,0
"King Henry IV, Part I",/production/king-henry-iv-part-i-chapel-street-theatre-vault-0000003183,1761,Broadway/Original,1760,/production/king-henry-iv-part-i-chapel-street-theatre,False,False,False,False,Broadway/Original,"Henry IV's son, Prince Hal, must put aside his preference for drunken carousing with Sir John Falstaff and other lowlifes when his father's throne is threatened by the rebel Hotspur.",00000150-aea2-d936-a7fd-eef6db3f0000,0
Cymbeline,/production/cymbeline-john-street-theatre-vault-0000006169,1767,Broadway/Original,1760,/production/cymbeline-john-street-theatre,False,False,False,False,Broadway/Original,"King Cymbeline's daughter has secretly married her childhood friend, a man of low low birth. The outraged king banishes her suitor, and the soured union sets in motion a tragic tale of innocence, jealousy and betrayal.",00000150-aea4-d936-a7fd-eef436aa0000,0
The Taming of the Shrew,/production/the-taming-of-the-shrew-john-street-theatre-vault-0000006168,1767,Benefit/Broadway/Original,1760,/production/the-taming-of-the-shrew-john-street-theatre,False,False,False,False,Other,"A wandering braggart out to marry for money ends up with the shrewish daughter of a rich man, whom he must ""tame"" even as he falls for her, in William Shakespeare's comedy.",00000150-aea4-d936-a7fd-eef44f020004,0
The Merchant of Venice,/production/the-merchant-of-venice-john-street-theatre-vault-0000006167,1767,Broadway/Comedy/Original/Play,1760,/production/the-merchant-of-venice-john-street-theatre,False,True,False,True,Broadway/Comedy/Original/Play,"Moneylender Shylock forces the Christian merchant Antonio to offer him a ""pound of flesh"" in exchange for money to allow Antonio's friend to marry the beautiful and wealthy Portia, in William Shakespeare's tale of revenge, greed and religion.",00000150-aea4-d936-a7fd-eef436a90004,0
"King Henry IV, Part I",/production/king-henry-iv-part-i-john-street-theatre-vault-0000006166,1767,Broadway,1760,/production/king-henry-iv-part-i-john-street-theatre,False,False,False,False,Broadway,"Henry IV's son, Prince Hal, must put aside his preference for drunken carousing with Sir John Falstaff and other lowlifes when his father's throne is threatened by the rebel Hotspur.",00000150-aea4-d936-a7fd-eef44f020002,0
Macbeth,/production/macbeth-john-street-theatre-vault-0000006165,1767,Broadway/Original/Play,1760,/production/macbeth-john-street-theatre,False,False,False,True,Broadway/Original/Play,"When three witches deliver some surprising prophecies, Macbeth hatches a plan to murder the king and claim the throne for himself. Provoked by his wife and preoccupied with greed, Macbeth begins his tragic descent into madness.",00000150-aea4-d936-a7fd-eef436a90003,0
King John,/production/king-john-john-street-theatre-vault-0000006164,1768,Broadway/Original,1760,/production/king-john-john-street-theatre,False,False,False,False,Broadway/Original,,00000150-aea4-d936-a7fd-eef44f020000,0
She Stoops to Conquer,/production/she-stoops-to-conquer-john-street-theatre-vault-0000006163,1772,Broadway/Comedy/Original,1770,/production/she-stoops-to-conquer-john-street-theatre,False,True,False,False,Broadway/Comedy/Original,"In Oliver Goldsmith's 1773 comedy, a wealthy English countryman attempts to match his daughter up with a wealthy London resident, but when the daughter learns her suitor prefers lower-class women, she must ""stoop to conquer"" her man by pretending to be a maid.",00000150-aea4-d936-a7fd-eef436a90002,0
The Rivals,/production/the-rivals-john-street-theatre-vault-0000006162,1777,Broadway/Comedy/Original/Play,1770,/production/the-rivals-john-street-theatre,False,True,False,True,Broadway/Comedy/Original/Play,"Wealthy captain Jack Absolute pretends to be poor officer Ensign Beverley to win the romantic Lydia in Richard Brinsley Sheridan's 1775 comedy, which also features such characters as oafish Bob Acres, temper-prone Sir Lucius O'Trigger and Mrs. Malaprop, whose frequent confusion of words and their meanings coined the term ""malapropism.""",00000150-aea4-d936-a7fd-eef44f010009,0
The School for Scandal,/production/the-school-for-scandal-john-street-theatre-vault-0000006161,1785,Broadway/Original/Play,1780,/production/the-school-for-scandal-john-street-theatre,False,False,False,True,Broadway/Original/Play,"The gossip, backbiting and romantic scheming of London society are satirized in Richard Brinsley Sheridan's 1777 comedy.",00000150-aea4-d936-a7fd-eef44f010007,0
The Critic,/production/the-critic-john-street-theatre-vault-0000006160,1786,Broadway/Comedy/Original,1780,/production/the-critic-john-street-theatre,False,True,False,False,Broadway/Comedy/Original,"A critic is besieged with requests for support from various playwrights before watching a laughably bad play by an acquaintance, in Richard Brinsley Sheridan's 1779 comedy.",00000150-aea4-d936-a7fd-eef44f010005,0
As You Like It,/production/as-you-like-it-john-street-theatre-vault-0000006159,1786,Broadway/Original,1780,/production/as-you-like-it-john-street-theatre,False,False,False,False,Broadway/Original,"Rosalind, banished from her father's kingdom by her usurping uncle, disguises herself as a boy while falling for one, the similarly exiled duke Orlando.",00000150-aea4-d936-a7fd-eef44f010003,0
Much Ado About Nothing,/production/much-ado-about-nothing-john-street-theatre-vault-0000006158,1786,Broadway/Comedy/Original/Play with Music,1780,/production/much-ado-about-nothing-john-street-theatre,False,True,False,True,Other,"The anti-romantic wits Beatrice and Benedick, who profess to hate each other, are forced by their friends' trickery to admit their true feelings as they help to save the wedding of his fellow soldier Claudio and her cousin Hero.",00000150-aea4-d936-a7fd-eef44f010001,0
May Day in Town,/production/may-day-in-town-john-street-theatre-vault-0000006157,1786,Broadway/Operetta/Original,1780,/production/may-day-in-town-john-street-theatre,False,False,False,False,Other,,00000150-aea4-d936-a7fd-eef44f00000a,0
The Merry Wives of Windsor,/production/the-merry-wives-of-windsor-john-street-theatre-vault-0000006156,1789,Broadway/Drama/Original,1780,/production/the-merry-wives-of-windsor-john-street-theatre,False,False,True,False,Broadway/Drama/Original,,00000150-aea4-d936-a7fd-eef44f000008,0
Notoriety / the Agreeable Suprise,/production/notoriety-the-agreeable-suprise-john-street-theatre-vault-0000006151,1793,Broadway/Comedy/Musical/Original,1790,/production/notoriety-the-agreeable-suprise-john-street-theatre,True,True,False,False,Other,,00000150-aea4-d936-a7fd-eef44f000000,0
Notoriety / the Agreeable Suprise,/production/notoriety-the-agreeable-suprise-john-street-theatre-vault-0000006152,1793,Broadway/Comedy/Musical/Original,1790,/production/notoriety-the-agreeable-suprise-john-street-theatre,True,True,False,False,Other,,00000150-aea4-d936-a7fd-eef44f000002,0
Needs Must,/production/needs-must-john-street-theatre-vault-0000006150,1793,Broadway/Musical/Original,1790,/production/needs-must-john-street-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea4-d936-a7fd-eef44eff0005,0
Tammany / the Agreeable Surprise,/production/tammany-the-agreeable-surprise-john-street-theatre-vault-0000006149,1793,Broadway,1790,/production/tammany-the-agreeable-surprise-john-street-theatre,False,False,False,False,Broadway,,00000150-aea4-d936-a7fd-eef442b10002,0
Tammany / the Agreeable Surprise,/production/tammany-the-agreeable-surprise-john-street-theatre-vault-0000006147,1793,Broadway/Original,1790,/production/tammany-the-agreeable-surprise-john-street-theatre,False,False,False,False,Broadway/Original,,00000150-aea4-d936-a7fd-eef44f040005,0
Tammany / the Agreeable Surprise,/production/tammany-the-agreeable-surprise-john-street-theatre-vault-0000006148,1793,Broadway/Original,1790,/production/tammany-the-agreeable-surprise-john-street-theatre,False,False,False,False,Broadway/Original,,00000150-aea4-d936-a7fd-eef44f040007,0
Julius Caesar,/production/julius-caesar-john-street-theatre-vault-0000006155,1793,Broadway/Original/Play/Tragedy,1790,/production/julius-caesar-john-street-theatre,False,False,False,True,Other,"In William Shakespeare's tragedy of political ambition, corruption and betrayal, Roman senators Brutus and Cassius lead a group effort to assassinate the powerful Julius Caesar, then battle with Mark Antony over control of the state.",00000150-aea4-d936-a7fd-eef44f000006,0
The Archers,/production/the-archers-john-street-theatre-vault-0000006153,1795,Broadway/Musical/Original,1790,/production/the-archers-john-street-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea4-d936-a7fd-eef44f000004,0
The Sicilian Romance / Roman Father / Devil Upon Two Sticks,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre-vault-0000006143,1795,Broadway/Musical/Opera/Original/Tragedy,1790,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre,True,False,False,False,Other,,00000150-aea4-d936-a7fd-eef44f030005,0
The Sicilian Romance / Roman Father / Devil Upon Two Sticks,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre-vault-0000006144,1795,Broadway/Musical/Opera/Original/Tragedy,1790,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre,True,False,False,False,Other,,00000150-aea4-d936-a7fd-eef44f030008,0
The Sicilian Romance / Roman Father / Devil Upon Two Sticks,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre-vault-0000006145,1795,Broadway/Musical/Opera/Original/Tragedy,1790,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre,True,False,False,False,Other,,00000150-aea4-d936-a7fd-eef44f040001,0
The Sicilian Romance / Roman Father / Devil Upon Two Sticks,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre-vault-0000006146,1795,Broadway/Musical/Opera/Original/Tragedy,1790,/production/the-sicilian-romance-roman-father-devil-upon-two-sticks-john-street-theatre,True,False,False,False,Other,,00000150-aea4-d936-a7fd-eef44f040003,0
Edwin and Angelina,/production/edwin-and-angelina-john-street-theatre-vault-0000006142,1796,Broadway/Opera/Original,1790,/production/edwin-and-angelina-john-street-theatre,False,False,False,False,Other,,00000150-aea4-d936-a7fd-eef44f030003,0
King Henry VIII,/production/king-henry-viii-park-theatre-vault-0000012591,1798,Broadway/Comedy/Original/Play,1790,/production/king-henry-viii-park-theatre,False,True,False,True,Broadway/Comedy/Original/Play,"King Henry VIII of England's decision to divorce Katharine of Aragon and marry Anne Boleyn, in defiance of the Roman Catholic Church, is supported by Cardinal Wolsey, who later regrets his decision, in William Shakespeare's play.",00000150-aea7-d936-a7fd-eef7e2cd0003,0
Twelfth Night,/production/twelfth-night-park-theatre-vault-0000012590,1804,Broadway/Comedy/Original,1800,/production/twelfth-night-park-theatre,False,True,False,False,Broadway/Comedy/Original,"Mistaken identity, wild characters and unusual courtships are all combined in one of Shakespeare's most popular comedies.",00000150-aea7-d936-a7fd-eef7e2cd0002,0
Virginius,/production/virginius-anthony-street-theatre-vault-0000001250,1820,Broadway/Original/Play,1820,/production/virginius-anthony-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea2-d936-a7fd-eef629b60000,0
Richard III,/production/king-richard-iii-african-grove-vault-0000012929,1821,Broadway/Play,1820,/production/king-richard-iii-african-grove,False,False,False,True,Other,"Richard, Duke of York, plots murders, marriages, and other intrigues in order to secure his own place on the throne. This tale of ruthless ambition is part of Shakespeare's cycle of plays about the Wars of the Roses.",00000150-aea7-d936-a7fd-eef7dae20001,0
"King Henry IV, Part II",/production/king-henry-iv-part-ii-park-theatre-vault-0000012589,1821,Broadway/Musical/Original,1820,/production/king-henry-iv-part-ii-park-theatre,True,False,False,False,Broadway/Musical/Original,"Having defeated Hotspur, Prince Hal becomes King Henry V upon the death of his father, but in order to become a proper king, he must now reject Sir John Falstaff, the drunk and petty criminal with whom he had kept company in younger days.",00000150-aea7-d936-a7fd-eef7e2cd0001,0
Tom and Jerry,/production/tom-and-jerry-park-theatre-vault-0000012588,1822,Broadway/Musical/Original,1820,/production/tom-and-jerry-park-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea7-d936-a7fd-eef7e2cd0000,0
Richard III,/production/king-richard-iii-park-theatre-vault-0000012587,1825,Broadway/Play,1820,/production/king-richard-iii-park-theatre,False,False,False,True,Other,"Richard, Duke of York, plots murders, marriages, and other intrigues in order to secure his own place on the throne. This tale of ruthless ambition is part of Shakespeare's cycle of plays about the Wars of the Roses.",00000150-aea7-d936-a7fd-eef7e2cc0004,0
The Road to Ruin,/production/the-road-to-ruin-new-york-theatre-vault-0000001973,1826,Broadway/Original/Play,1820,/production/the-road-to-ruin-new-york-theatre,False,False,False,True,Broadway/Original/Play,,00000150-ae93-d936-a7fd-eef749900001,0
A Midsummer Night's Dream,/production/a-midsummer-nights-dream-park-theatre-vault-0000012586,1826,Broadway/Comedy/Original/Play,1820,/production/a-midsummer-nights-dream-park-theatre,False,True,False,True,Broadway/Comedy/Original/Play,"William Shakespeare's comedy brings together a group of star-crossed lovers, an inept band of actors led by the pompous Bottom, and the king and queen of the fairies and their impish henchman Puck, who creates romantic and comic havoc for all.",00000150-aea7-d936-a7fd-eef7e2cc0003,0
The Spoiled Child,/production/the-spoiled-child-bowery-theatre-vault-0000001971,1827,Broadway/Original,1820,/production/the-spoiled-child-bowery-theatre,False,False,False,False,Broadway/Original,,00000150-ae93-d936-a7fd-eef749910000,0
Rip Van Winkle,/production/rip-van-winkle-park-theatre-vault-0000012585,1829,Broadway/Musical/Original,1820,/production/rip-van-winkle-park-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea7-d936-a7fd-eef7e2cc0002,0
The Hunchback,/production/the-hunchback-richmond-hill-theatre-vault-0000010030,1832,Broadway/Original/Play,1830,/production/the-hunchback-richmond-hill-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea6-d936-a7fd-eef62ee90002,0
The Hunchback,/production/the-hunchback-park-theatre-vault-0000012584,1832,Broadway/Original/Play,1830,/production/the-hunchback-park-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea7-d936-a7fd-eef7e2cc0001,0
Mathews at Home!/ the Comic Annual,/production/mathews-at-home-the-comic-annual-park-theatre-vault-0000012583,1834,Broadway/Comedy/Musical/Original,1830,/production/mathews-at-home-the-comic-annual-park-theatre,True,True,False,False,Other,,00000150-aea7-d936-a7fd-eef7e2cc0000,0
"The Deep, Deep Sea",/production/the-deep-deep-sea-olympic-theatre-vault-0000009136,1834,Broadway/Musical/Original,1830,/production/the-deep-deep-sea-olympic-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea5-d936-a7fd-eef5caf30002,0
"The Deep, Deep Sea",/production/the-deep-deep-sea-park-theatre-vault-0000012582,1834,Broadway/Musical/Original,1830,/production/the-deep-deep-sea-park-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea7-d936-a7fd-eef7e2cb0004,0
The Saw Mill,/production/the-saw-mill-chatham-gardens-theatre-vault-0000012928,1834,Broadway/Opera/Original,1830,/production/the-saw-mill-chatham-gardens-theatre,False,False,False,False,Other,,00000150-aea7-d936-a7fd-eef7e2e10003,0
Norman Leslie,/production/norman-leslie-bowery-theatre-vault-0000001970,1835,Broadway/Musical/Original,1830,/production/norman-leslie-bowery-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-ae98-d936-a7fd-eefc62160003,0
Norman Leslie,/production/norman-leslie-franklin-theatre-vault-0000012930,1835,Broadway/Musical/Original,1830,/production/norman-leslie-franklin-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea7-d936-a7fd-eef7e2e10004,0
Norman Leslie,/production/norman-leslie-chatham-theatre-vault-0000012936,1835,Broadway/Musical/Original,1830,/production/norman-leslie-chatham-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea7-d936-a7fd-eef7e2e20002,0
The Lady of Lyons,/production/the-lady-of-lyons-park-theatre-vault-0000012581,1837,Broadway/Original/Play,1830,/production/the-lady-of-lyons-park-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea7-d936-a7fd-eef7e2cb0003,0
Amilie,/production/amilie-olympic-theatre-vault-0000001251,1838,Broadway/Original,1830,/production/amilie-olympic-theatre,False,False,False,False,Broadway/Original,,00000150-aea2-d936-a7fd-eef607da0000,0
Amilie,/production/amilie-national-theatre-vault-0000012575,1838,Broadway/Original,1830,/production/amilie-national-theatre,False,False,False,False,Broadway/Original,,00000150-aea7-d936-a7fd-eef7e2ca0002,0
Richelieu,/production/richelieu-national-theatre-vault-0000012574,1839,Broadway/Drama/Original/Play,1830,/production/richelieu-national-theatre,False,False,True,True,Broadway/Drama/Original/Play,,00000150-aea7-d936-a7fd-eef7e2ca0001,0
The Strange Gentleman/ the Roof Scrambler,/production/the-strange-gentleman-the-roof-scrambler-olympic-theatre-vault-0000009135,1839,Broadway/Burlesque/Comedy/Musical/Opera/Original,1830,/production/the-strange-gentleman-the-roof-scrambler-olympic-theatre,True,True,False,False,Other,,00000150-aea5-d936-a7fd-eef5a96c0004,0
"Sam Parr, with His Red Coarse Hair",/production/sam-parr-with-his-red-coarse-hair-olympic-theatre-vault-0000009133,1839,Broadway/Burlesque/Musical/Original,1830,/production/sam-parr-with-his-red-coarse-hair-olympic-theatre,True,False,False,False,Other,,00000150-aea5-d936-a7fd-eef5a96c0003,0
Mrs. Normer,/production/mrs-normer-olympic-theatre-vault-0000009134,1839,Broadway/Burlesque/Musical/Original,1830,/production/mrs-normer-olympic-theatre,True,False,False,False,Other,,00000150-aea5-d936-a7fd-eef5caf30001,0
La Musquitoe,/production/la-musquitoe-olympic-theatre-vault-0000009132,1839,Broadway/Burlesque/Comedy/Musical/Original,1830,/production/la-musquitoe-olympic-theatre,True,True,False,False,Other,,00000150-aea5-d936-a7fd-eef5caf30000,0
1940!,/production/1940-olympic-theatre-vault-0000009131,1840,Broadway/Musical/Original,1840,/production/1940-olympic-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea5-d936-a7fd-eef5a96c0002,0
"Buy-it-dear, 'tis Made of Cashmere",/production/buy-it-dear-tis-made-of-cashmere-olympic-theatre-vault-0000009130,1840,Broadway/Burlesque/Musical/Opera/Original,1840,/production/buy-it-dear-tis-made-of-cashmere-olympic-theatre,True,False,False,False,Other,,00000150-aea5-d936-a7fd-eef5caf20005,0
The Cat's in the Larder,/production/the-cats-in-the-larder-olympic-theatre-vault-0000009129,1840,Broadway/Burlesque/Musical/Opera/Original,1840,/production/the-cats-in-the-larder-olympic-theatre,True,False,False,False,Other,,00000150-aea5-d936-a7fd-eef5a96c0001,0
The Naiad Queen,/production/the-naiad-queen-national-theatre-vault-0000012573,1840,Broadway/Drama/Musical/Original,1840,/production/the-naiad-queen-national-theatre,True,False,True,False,Other,,00000150-aea7-d936-a7fd-eef7e2ca0000,0
London Assurance,/production/london-assurance-park-theatre-vault-0000012580,1841,Broadway/Comedy/Original/Play,1840,/production/london-assurance-park-theatre,False,True,False,True,Broadway/Comedy/Original/Play,London widower Sir Harcourt Courtly falls for a Gloucestershire heiress — the same heiress his son is pursuing — in Dion Boucicault's 1841 comedy.,00000150-aea7-d936-a7fd-eef7e2cb0002,0
The Recruiting Officer,/production/the-recruiting-officer-park-theatre-vault-0000012579,1842,Broadway/Play,1840,/production/the-recruiting-officer-park-theatre,False,False,False,True,Other,,00000150-aea7-d936-a7fd-eef7e2cb0001,0
The Bohemian Girl,/production/the-bohemian-girl-park-theatre-vault-0000012578,1844,Broadway/Musical/Original,1840,/production/the-bohemian-girl-park-theatre,True,False,False,False,Broadway/Musical/Original,,00000150-aea7-d936-a7fd-eef7e2cb0000,0
Don Caesar De Bazan,/production/don-caesar-de-bazan-olympic-theatre-vault-0000009128,1844,Broadway/Original/Play,1840,/production/don-caesar-de-bazan-olympic-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5caf20004,0
The Bohea-man's Girl,/production/the-bohea-mans-girl-olympic-theatre-vault-0000009127,1844,Broadway/Burlesque/Musical/One Act/Original,1840,/production/the-bohea-mans-girl-olympic-theatre,True,False,False,False,Other,,00000150-aea5-d936-a7fd-eef5a96c0000,0
King John,/production/king-john-bowery-theatre-vault-0000001969,1845,Broadway,1840,/production/king-john-bowery-theatre,False,False,False,False,Broadway,,00000150-ae93-d936-a7fd-eef749910001,0
